BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,PublishDate,Book format,Language,GenreLink,Series
1500002,Hitler's Spanish Legion: The Blue Division in Russia,"Gerald R. Kleinfeld, Lewis A. Tambs",3.97,29,6,17,5,1,0,4,464,June 1st 1979,Hardcover,English,26465510,
1500006,گذرگاه خطرناک,W. Somerset Maugham,3.94,36953,10642,15783,8464,1741,323,3648,,April 1925,,,1069201,
1500013,سرود کریسمس,"Charles Dickens, محسن سلیمانی",4.07,644522,257917,221126,126314,29056,10109,20888,104,December 17th 1843,,Persian,3097440,
7036,The Kalahari Typing School for Men,Alexander McCall Smith,4.00,36071,10277,16574,8381,731,108,1615,210,2002,Paperback,English,2647331,No. 1 Ladies' Detective Agency
1500025,Ein Gentleman für Mma Ramotswe,Alexander McCall Smith,3.97,50373,13619,23278,11944,1303,229,2915,238,2000,Paperback,German,1005422,No. 1 Ladies' Detective Agency
1500031,Nunca más: informe de la Comisión Nacional sobre la Desaparición de Personas,Conadep,4.64,249,179,54,13,2,1,20,496,November 4th 1984,Paperback,Spanish,806937,
1500027,Ein Fallschirm für Mma Ramotswe,Alexander McCall Smith,4.03,29710,8859,13526,6624,612,89,1384,272,2003,Paperback,German,5913140,No. 1 Ladies' Detective Agency
1500026,Ein Koch für Mma Ramotswe,Alexander McCall Smith,3.98,38747,10585,17886,9363,820,93,1914,240,2001,Paperback,German,5913092,No. 1 Ladies' Detective Agency
1500028,Ein Fallschirm für Mma Ramotswe,"Alexander McCall Smith, Michael Kubiak",4.03,29710,8859,13526,6624,612,89,1384,269,2003,Hardcover,German,5913140,No. 1 Ladies' Detective Agency
1500029,Keine Konkurrenz für Mma Ramotswe,"Alexander McCall Smith, Michael Kubiak",4.00,36072,10278,16574,8381,731,108,1615,252,2002,Hardcover,German,2647331,No. 1 Ladies' Detective Agency
7039,Tears of the Giraffe,Alexander McCall Smith,3.97,50371,13618,23277,11944,1303,229,2915,217,2000,Paperback,English,1005422,No. 1 Ladies' Detective Agency
7061,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,3.79,239599,69060,85054,60404,17452,7629,11663,235,1998,Paperback,English,826298,No. 1 Ladies' Detective Agency
1500037,پر,"Charlotte Mary Matheson, میمنت دانا",3.19,1987,368,438,607,355,219,128,272,1927,Paperback,Persian,936814,
1500044,Women and Children Last: The Plight of Poor Women in Affluent America,Ruth Sidel,3.31,16,0,6,9,1,0,0,256,1986,Paperback,English,1056969,
1500047,Lanyer: A Renaissance Woman Poet,Susanne Woods,3.43,7,0,4,2,1,0,1,,January 1st 1999,Hardcover,English,1491455,
402737,The Burglar in the Closet,Lawrence Block,3.89,3673,877,1671,997,110,18,226,290,1978,Paperback,English,1491458,Bernie Rhodenbarr
1500053,A Sensitive Case,Eric Wright,3.40,48,5,16,20,7,0,3,184,1990,Hardcover,,1491461,Charlie Salter
1500055,The Digital Effect,Steve Perry,3.77,108,29,33,38,8,0,3,255,May 1st 1997,Paperback,English,1491463,
1500052,A Sensitive Case,Eric Wright,3.40,48,5,16,20,7,0,3,218,1990,Hardcover,English,1491461,Charlie Salter
1500059,You Are Not Your Own: Living Loud For God,"Jason Perry, Steve Keels",4.21,33,17,8,6,2,0,1,,March 1st 2002,Hardcover,English,1491467,
1500065,Aliens Vs. Predator: Eternal,"Ian Edginton, Alex Maleev",3.41,95,14,28,39,11,3,10,90,September 21st 1999,Paperback,English,1491473,Aliens Comics
1500054,اتللو (داس‍ت‍ان‌ غ‍م‌ان‍گ‍ی‍ز ات‍ل‍ل‍و م‍غ‍رب‍ی‌ در ون‍دی‍ک‌),"William Shakespeare, ابوالقاسم خان ناصرالملک",3.90,327692,103361,118732,79775,20146,5678,6816,133,1603,Paperback,Persian,995103,
1500063,عشق زندگی,Jack London,4.08,1296,501,487,237,58,13,43,,1905,,,560639,
1500061,Conan the Fearless,Steve Perry,3.89,295,100,90,81,22,2,15,288,February 15th 1986,Paperback,English,1491469,Adventures of Conan
1500064,"Aliens vs. Predator Omnibus, Vol. 2","Chris Claremont, Barbara Randall Kesel, David Ross, Ian Edginton, Brian  McDonald, Andi Watson, Mark Schultz, Eduardo Barreto",3.72,271,82,79,72,28,10,20,458,October 16th 2007,Paperback,English,1491472,Alien vs. Predators Omnibus
1500077,"Eat And Stay Thin: Simple, Spiritual, Satisfying Weight Control",Joyce Meyer,3.96,246,105,55,63,17,6,18,,March 1st 1999,Hardcover,English,618435,
1500078,A Life Unleashed: Giving Birth to Your Dreams,"Christine Caine, Joyce Meyer",4.20,88,44,21,20,3,0,13,204,September 1st 2004,Hardcover,English,1491486,
1500075,Das Phantom Von Manhattan,Frederick Forsyth,3.00,2722,362,572,884,509,395,316,,June 1st 1996,,,2768892,
1500079,The Secrets of Spiritual Power: Strength for Life's Battles,Joyce Meyer,4.37,27,15,7,5,0,0,1,128,2003,Hardcover,English,1491487,
1500076,Das Phantom von Manhattan,Frederick Forsyth,3.00,2722,362,572,884,509,395,316,240,June 1st 1996,Paperback,German,2768892,
1500080,El Desarrollo De Un Lider,Joyce Meyer,4.33,206,112,56,31,7,0,16,224,2001,Paperback,Spanish,1148758,
1500082,"Help Me, I'm Worried!: Overcoming Emotional Battles With The Power Of God's Word",Joyce Meyer,4.13,82,36,27,14,4,1,7,132,February 1st 1998,Paperback,English,1491490,
1500088,Being the Person God Made You to Be,Joyce Meyer,4.18,125,67,29,19,4,6,12,128,January 2002,,,2476474,
1500081,Controlando Sus Emociones,Joyce Meyer,4.27,652,338,198,80,23,13,50,248,1997,Unknown Binding,Spanish,15530,
1500085,Straight Talk on Insecurity: Overcoming Emotional Battles with the Power of God's Word!,Joyce Meyer,4.23,52,27,15,6,3,1,0,160,February 1st 2003,Paperback,English,1491493,
1500084,Straight Talk on Fear: Overcoming Emotional Battles with the Power of God's Word!,Joyce Meyer,4.45,84,52,19,12,1,0,4,104,2002,Paperback,English,1491492,
1500086,Healing the Brokenhearted: Experience Restoration Through the Power of God's Word,Joyce Meyer,4.31,85,47,24,8,5,1,6,104,February 28th 1997,Paperback,English,1491499,
1500083,No se afane por nada: El arte de relegar las preocupaciones y descansar en Dios,Joyce Meyer,4.31,839,454,234,119,20,12,53,224,1998,Unknown Binding,Spanish,111048,
1500089,Como Profundizar Tu Relacion Con Dios,Joyce Meyer,4.26,69,34,22,11,1,1,5,,2001,Hardcover,Spanish,618448,
1500091,Healing The Broken Hearted,Joyce Meyer,4.31,85,47,24,8,5,1,6,,February 28th 1997,,,1491499,
1500092,Peace: Cast All Your Cares Upon Him,Joyce Meyer,4.44,105,62,31,9,2,1,5,72,February 1st 2003,Paperback,English,1491500,
1500093,Ayudenme Siento- Estres,Joyce Meyer,4.26,76,42,18,10,6,0,9,74,July 1998,Unknown Binding,Spanish,1491501,
1500094,Why God Why?,Joyce Meyer,4.42,83,47,27,7,1,1,10,,February 1st 1996,Paperback,English,1491502,
1500095,Las Siete Cosas Que Te Roban el Gozo: Superando los Obst culos Hacia Tu Alegria,Joyce Meyer,4.19,763,362,238,121,32,10,47,256,2004,Paperback,Spanish,2175391,
1500098,Los Secretos del Poder Espiritual,Joyce Meyer,4.37,27,15,7,5,0,0,1,125,2003,Hardcover,Spanish,1491487,
1500099,"New Day, New You: Devotions for Enjoying Everyday Life",Joyce Meyer,4.47,479,298,124,44,8,5,31,0,October 1st 2007,Audio CD,English,1597299,
1500100,Como Oir A Dios / How to Hear from God,Joyce Meyer,4.26,1338,679,404,191,47,17,95,272,September 1st 2003,Paperback,Spanish,2163103,
1500103,Como Tener Exito en Aceptarte A Ti Mismo = How to Succeed at Being Yourself,Joyce Meyer,4.30,431,241,103,69,13,5,23,268,1999,Paperback,Spanish,1491511,
1500101,Mujer Segura De Si Misma,Joyce Meyer,4.36,4529,2612,1158,601,100,58,208,256,January 1st 2006,Paperback,Spanish,15522,
1500104,El Gozo de Ser Quien Dios Te Hizo,Joyce Meyer,4.18,125,67,29,19,4,6,12,125,January 1st 2002,Hardcover,Spanish,2476474,
